SP500,SF1,ZEP,Sector,DateInSP500,DateOutSP500
IBM,IBM,IBM,Information Technology,01/01/99,01/01/20
ICE,ICE,ICE,Financials,09/25/07,01/01/20
IFF,IFF,IFF,Materials,01/01/99,01/01/20
IGT,IGT,IGT,Consumer Discretionary,08/31/01,06/20/14
IKN,IKN,IKN,Industrials,01/01/99,06/28/00
ILMN,ILMN,ILMN,Health Care,11/18/15,01/01/20
INTC,INTC,INTC,Information Technology,01/01/99,01/01/20
INTU,INTU,INTU,Information Technology,12/08/00,01/01/20
IP,IP,IP,Materials,01/01/99,01/01/20
IPG,IPG,IPG,Consumer Discretionary,01/01/99,01/01/20
IR,IR,IR,Industrials,11/16/10,06/30/09
IRM,IRM,IRM,Real Estate,01/05/09,01/01/20
ISRG,ISRG,ISRG,Health Care,06/02/08,01/01/20
ITT,ITT,ITT,Industrials,01/01/99,10/31/11
ITW,ITW,ITW,Industrials,01/01/99,01/01/20
IVZ,IVZ,IVZ,Financials,08/20/08,01/01/20
JAVA,JAVA,JAVA,Information Technology,01/01/99,01/27/10
JBHT,JBHT,JBHT,Industrials,06/30/15,01/01/20
JBL,JBL,JBL,Information Technology,01/29/01,11/04/14
JCI,JCI,jci_,Consumer Discretionary,01/01/99,01/01/20
JCP,JCP,JCP,Consumer Discretionary,01/01/99,11/29/13
JEC,JEC,JEC,Industrials,10/25/07,01/01/20
JNJ,JNJ,JNJ,Health Care,01/01/99,01/01/20
JNPR,JNPR,JNPR,Information Technology,06/01/06,01/01/20
JNS,JNS,JNS,Financials,07/12/00,11/18/11
JNY,JNY,JNY,Consumer Discretionary,12/14/01,03/03/09
JOY,JOY,JOY,Industrials,02/25/11,10/07/15
JP,JP1,JP_,Financials,01/01/99,03/31/06
JPM,JPM,JPM,Financials,01/01/99,01/01/20
JWN,JWN,JWN,Consumer Discretionary,01/01/99,01/01/20
K,K,K,Consumer Staples,01/01/99,01/01/20
KATE,KATE,KATE,Consumer Discretionary,01/01/99,12/01/08
KBH,KBH,KBH,Consumer Discretionary,01/01/99,12/18/09
KEY,KEY,KEY,Financials,01/01/99,01/01/20
KG,KG,KG,Health Care,10/02/00,12/17/10
KHC,KHC,KHC,Consumer Staples,10/01/12,01/01/20
KIM,KIM,KIM,Real Estate,03/31/06,01/01/20
KLAC,KLAC,KLAC,Information Technology,01/01/99,01/01/20
KMB,KMB,KMB,Consumer Staples,01/01/99,01/01/20
KMG,KMG1,KMG_,Energy,01/01/99,08/10/06
